c,n_monolayer,BET_area,pp0_monolayer,pp0_min,pp0_max,pp0_mean,r2,monolayer_difference
4.875213077355102,0.021981235158537473,2144.410169620345,0.311721818764692,0.331034,0.339669,0.335831,0.999996292542336,0.024109181235307975
7.057882508257392,0.019998961329922148,1951.0266710864175,0.2734730418940792,0.310883,0.322398,0.31712,0.9973287193916107,0.043646958105920786
14.30999619353864,0.017607819934185476,1717.7555246273723,0.20908011695047815,0.303687,0.318079,0.310883,0.997918184083242,0.10180288304952186
19.936356779224226,0.016488136126087596,1608.523203171052,0.1829821225532261,0.246116,0.289294,0.26818499999999995,0.9997650878472876,0.0852028774467739
23.195663213385338,0.016257618192563942,1586.0347034410452,0.1719339307697862,0.188546,0.228845,0.20869533333333332,0.9999979113013989,0.03676140256354713
27.448413101798778,0.015913620027545372,1552.4754808552277,0.16027892856642975,0.208695,0.246116,0.22788533333333336,0.9997994949541733,0.06760640476690358
28.826029886384475,0.015844103191475375,1545.6936685888484,0.1570108207164135,0.228845,0.269145,0.2480353333333333,0.999884754008932,0.09102451261691984
29.437989257744675,0.015754351178620143,1536.9377853219382,0.1556255841743041,0.168395,0.208695,0.18854533333333331,0.9997752820335974,0.03291974915902921
35.11171228962204,0.01539921929166684,1502.292396905567,0.1443936214998682,0.149684,0.188546,0.168875,0.9999893082703023,0.024481378500131795
38.180506152390954,0.01524097163584574,1486.8543252952218,0.13929443613374476,0.109385,0.149684,0.128575,0.9997636394837909,0.010719436133744759
40.667058530264775,0.015132432085880328,1476.265597542976,0.13555512004881085,0.126656,0.168395,0.148245,0.9998911739338455,0.012689879951189151
42.573338566300656,0.015016198870966764,1464.9263035355823,0.132893459667409,0.094992,0.126656,0.11034433333333332,0.9991716672118273,0.022549126334075683
51.96639566457896,0.014515486357641983,1416.0785933006646,0.12182089888789087,0.087796,0.109385,0.097391,0.9994178630248136,0.024429898887890874
62.85968504897353,0.014129024112459258,1378.3767279247204,0.1120020250592095,0.066207,0.094992,0.08299833333333333,0.9995180641019318,0.029003691725876173
85.99237961529231,0.01350424183314112,1317.4252179706486,0.09734058112307774,0.047496,0.087796,0.06716633333333333,0.9999203539758401,0.030174247789744407
116.9008340337047,0.012932431129967698,1261.641424287581,0.08465917426794482,0.035982,0.066207,0.049895,0.9998501075937997,0.03476417426794482
148.39248941437296,0.012488373868074092,1218.3207964233834,0.07586306222201555,0.018711,0.035982,0.025907,0.9997769477479399,0.04995606222201556
161.83448171229543,0.012332662694120968,1203.130174852743,0.07287876394693302,0.023028,0.047496,0.035502,0.9999903756628516,0.03737676394693302
183.51400498299503,0.011950192918066376,1165.8178003920507,0.06874395260136464,0.010075,0.023028,0.017271333333333333,0.9990500387605697,0.051472619268031296
199.00393533361003,0.011608106198228206,1132.4450515168303,0.06619502506904498,0.005757,0.018711,0.011514333333333333,0.999852145774625,0.054680691735711655
